epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3548.35,1.24836,1.24295,1.57052,0.83847,0.70541,0.76255,0.45852,1.48657,1.02171,1.95919,0.005842,0.005842,0.005842
44,3629.52,1.24547,1.2349,1.56523,0.80769,0.7208,0.77137,0.46068,1.483,1.00038,1.95822,0.005743,0.005743,0.005743
45,3710.62,1.23334,1.2182,1.55503,0.84337,0.71866,0.77516,0.45891,1.48133,1.0007,1.95504,0.005644,0.005644,0.005644
46,3791.28,1.23239,1.20719,1.55217,0.85944,0.71814,0.788,0.47113,1.46934,0.98471,1.94064,0.005545,0.005545,0.005545
47,3871.8,1.2274,1.20681,1.55575,0.83294,0.7296,0.77378,0.46343,1.46795,0.99692,1.94192,0.005446,0.005446,0.005446
48,3953.09,1.21221,1.18236,1.54051,0.82617,0.72082,0.77482,0.46565,1.47146,1.0097,1.94125,0.005347,0.005347,0.005347
49,4034.47,1.21874,1.17699,1.54298,0.81176,0.72705,0.77857,0.46829,1.46275,0.99787,1.93846,0.005248,0.005248,0.005248
50,4115.54,1.2104,1.17432,1.53924,0.82778,0.7215,0.77062,0.46167,1.47241,1.00072,1.95053,0.005149,0.005149,0.005149
51,4197,1.21348,1.15954,1.53506,0.83174,0.71175,0.76771,0.4622,1.48426,1.01049,1.9639,0.00505,0.00505,0.00505
52,4278.21,1.19637,1.14797,1.52435,0.80543,0.72654,0.77434,0.46527,1.47358,0.99094,1.95788,0.004951,0.004951,0.004951
53,4359.19,1.19509,1.13656,1.52817,0.85805,0.70542,0.77158,0.46521,1.48061,1.00414,1.96506,0.004852,0.004852,0.004852
54,4440.42,1.20191,1.12493,1.5281,0.8162,0.71686,0.76881,0.46085,1.47861,1.00361,1.96502,0.004753,0.004753,0.004753
55,4521.96,1.19483,1.10906,1.52089,0.82927,0.72276,0.77211,0.46359,1.47771,0.99535,1.96545,0.004654,0.004654,0.004654
56,4603.37,1.17623,1.10452,1.51312,0.83897,0.72605,0.77523,0.46656,1.47663,0.9823,1.96399,0.004555,0.004555,0.004555
57,4684.64,1.17112,1.08965,1.50876,0.82669,0.72669,0.77373,0.46582,1.483,0.98378,1.96903,0.004456,0.004456,0.004456
58,4766.21,1.17764,1.08481,1.50874,0.85887,0.70337,0.7724,0.46729,1.48291,0.98661,1.97307,0.004357,0.004357,0.004357
59,4847.81,1.16201,1.06707,1.50047,0.82517,0.72056,0.77239,0.46671,1.48046,0.97935,1.97761,0.004258,0.004258,0.004258
60,4929.77,1.16661,1.07009,1.50251,0.86053,0.70131,0.76988,0.46134,1.48179,0.98735,1.97809,0.004159,0.004159,0.004159
61,5011.66,1.15187,1.0598,1.49351,0.86365,0.70113,0.77,0.46035,1.4817,0.98708,1.98177,0.00406,0.00406,0.00406
62,5093.28,1.15773,1.04811,1.49276,0.8392,0.71272,0.76858,0.46029,1.48526,0.9913,1.98494,0.003961,0.003961,0.003961
63,5174.52,1.1526,1.04911,1.48659,0.85137,0.6997,0.7666,0.46242,1.4914,0.99647,1.99275,0.003862,0.003862,0.003862
64,5255.85,1.13884,1.03072,1.48305,0.84579,0.70524,0.76649,0.46082,1.49078,0.99857,1.98975,0.003763,0.003763,0.003763
65,5337.81,1.13053,1.0328,1.47251,0.85427,0.70242,0.76273,0.46077,1.49632,0.9973,1.99842,0.003664,0.003664,0.003664
66,5419.57,1.12698,1.01953,1.47144,0.85088,0.71388,0.76277,0.46024,1.49988,1.00174,2.00485,0.003565,0.003565,0.003565
67,5501.48,1.12327,1.01366,1.46889,0.85422,0.71195,0.76365,0.45938,1.50165,1.00443,2.00399,0.003466,0.003466,0.003466
68,5583.11,1.12062,1.01321,1.4633,0.85712,0.7102,0.76456,0.46074,1.50111,0.99665,2.00608,0.003367,0.003367,0.003367
69,5665.07,1.11398,1.00905,1.46468,0.86004,0.70775,0.76597,0.46064,1.50606,0.99836,2.01607,0.003268,0.003268,0.003268
70,5747.28,1.11643,0.9847,1.46016,0.87079,0.70334,0.7621,0.45752,1.50899,0.99719,2.01968,0.003169,0.003169,0.003169
71,5828.76,1.10789,0.98712,1.45361,0.86561,0.69957,0.75907,0.45787,1.51075,0.99751,2.02046,0.00307,0.00307,0.00307
72,5911.01,1.09898,0.97091,1.44886,0.85859,0.69929,0.75968,0.45848,1.51165,0.99763,2.02112,0.002971,0.002971,0.002971
73,5992.91,1.08558,0.95625,1.44192,0.84649,0.70827,0.76263,0.45808,1.51117,0.99516,2.02245,0.002872,0.002872,0.002872
74,6075.24,1.08297,0.96374,1.43984,0.85075,0.71147,0.76372,0.45873,1.51295,0.99585,2.02635,0.002773,0.002773,0.002773
75,6157.13,1.08284,0.9522,1.43984,0.84556,0.7124,0.7639,0.45942,1.51342,0.99811,2.02992,0.002674,0.002674,0.002674
76,6238.86,1.07458,0.93722,1.42729,0.85167,0.70509,0.76453,0.46059,1.51364,1.00094,2.03214,0.002575,0.002575,0.002575
77,6320.59,1.07781,0.93618,1.42761,0.84294,0.70532,0.7614,0.45872,1.512,1.00084,2.03341,0.002476,0.002476,0.002476
78,6402.26,1.06573,0.93116,1.42335,0.83745,0.70575,0.75974,0.45794,1.51347,1.00226,2.0354,0.002377,0.002377,0.002377
79,6484,1.06209,0.91673,1.41666,0.83056,0.71076,0.75892,0.45723,1.51447,1.00222,2.03783,0.002278,0.002278,0.002278
80,6566.64,1.06435,0.92337,1.42012,0.84782,0.70208,0.75867,0.4564,1.51704,1.00162,2.04245,0.002179,0.002179,0.002179
81,6648.81,1.05794,0.90659,1.41324,0.84654,0.70571,0.75897,0.45565,1.51986,1.00214,2.04749,0.00208,0.00208,0.00208
82,6732.06,1.04966,0.90067,1.40957,0.84509,0.70597,0.75849,0.45487,1.5205,1.00614,2.04882,0.001981,0.001981,0.001981
83,6814.89,1.04374,0.89547,1.4066,0.84981,0.70337,0.75905,0.45508,1.52067,1.00745,2.04981,0.001882,0.001882,0.001882
84,6897.81,1.03797,0.88779,1.39892,0.84601,0.70385,0.75882,0.45455,1.52033,1.00832,2.05145,0.001783,0.001783,0.001783
85,6980.92,1.03359,0.87609,1.39396,0.83584,0.71054,0.76028,0.45406,1.52184,1.0074,2.05517,0.001684,0.001684,0.001684
86,7063.75,1.0245,0.8821,1.39588,0.82814,0.71662,0.7602,0.45429,1.52176,1.00795,2.0574,0.001585,0.001585,0.001585
87,7146.45,1.01825,0.86063,1.38314,0.8292,0.71556,0.75954,0.45337,1.52168,1.00764,2.05885,0.001486,0.001486,0.001486
88,7229.12,1.01247,0.86333,1.38321,0.84947,0.70053,0.75988,0.45319,1.52445,1.00801,2.0639,0.001387,0.001387,0.001387
89,7312.42,1.01237,0.86279,1.37878,0.84802,0.69946,0.75874,0.45367,1.52562,1.00983,2.06644,0.001288,0.001288,0.001288
90,7395.57,1.00872,0.8561,1.38215,0.85064,0.69852,0.75815,0.45263,1.52579,1.00957,2.06938,0.001189,0.001189,0.001189
91,7479.34,0.92909,0.52882,1.42314,0.84969,0.70145,0.75799,0.45271,1.52426,1.01325,2.06946,0.00109,0.00109,0.00109
92,7560.68,0.89858,0.4927,1.39897,0.84851,0.70125,0.75755,0.45224,1.52663,1.0135,2.0724,0.000991,0.000991,0.000991
93,7641.08,0.88105,0.47896,1.37877,0.84841,0.70212,0.75877,0.45115,1.52747,1.01546,2.07427,0.000892,0.000892,0.000892
94,7721.49,0.8689,0.47354,1.36451,0.84749,0.70196,0.76002,0.4514,1.52858,1.01725,2.07688,0.000793,0.000793,0.000793
95,7801.79,0.85965,0.46953,1.35962,0.85569,0.70084,0.76046,0.45148,1.52897,1.01751,2.07908,0.000694,0.000694,0.000694
96,7882.22,0.84959,0.45632,1.3519,0.85731,0.69898,0.76042,0.45255,1.53059,1.01911,2.08192,0.000595,0.000595,0.000595
97,7962.79,0.83718,0.45063,1.33893,0.85602,0.6988,0.76075,0.45293,1.53105,1.02127,2.08409,0.000496,0.000496,0.000496
98,8043.56,0.82676,0.44276,1.33314,0.85856,0.69859,0.76056,0.4538,1.5323,1.02156,2.08735,0.000397,0.000397,0.000397
99,8124.93,0.82056,0.44171,1.32283,0.8619,0.69805,0.76067,0.45335,1.53373,1.02322,2.09017,0.000298,0.000298,0.000298
100,8205.54,0.81583,0.44082,1.32093,0.86698,0.692,0.76047,0.45358,1.53469,1.02533,2.09271,0.000199,0.000199,0.000199
